chapter_no,sentence
11,forgot to mention that during our chat last night i figured it would be obvious after you saw the crime scene and yet you still thought i 'd be crazy enough to make a deal with the purple hyacinth ?
11,well
11,"not crazy , just extremely desperate which you definitely ade i am not desperatei click No , you 've just been stuck spinning your wheels in a dead end investigation for years . that"
11,"'s exactly what the phantom scythe is spending its time and resources you know : making sure that the apd never gets past those dead ends look , i came here tonight because : i know you 've been honest with me i"
11,"do n't understand why , or how it 's possible , but you and i seem to have the same goal on , Actually there 's a lot i do n't understand about you . i"
11,'ve got my mysterious killer reputation to uphold . it
11,would 've been a waste if i revealed everything about myself on the first night . why
11,did n't you kill me ?
11,My
11,my did you hit your head that hard ?
11,i
11,already told you i need a pet someone in the police department to help me put my plans in motion but why me ?
11,why
11,would you trust me ?
11,you
11,know nothing about me true but
11,you 're straight laced enough to put weight in your word and crooked enough to take mine at face value and
11,i do know you and
11,"i share the same vengeful desires Plus , you seem to have a knack for guessing when someone is lying it makes you useful . But"
11,i saw your face how could you be so certain i would n't bring the whole police squad here tonight ?
11,darling
11,", you 're not the only one to have seen it . relear"
11,"I waltz around in broad daylight with this face and yet miracllously no one runs away screaming As if i 'd have any interest in killing people at random : but still , why trust me ?"
11,Someone
11,"as obsessed with the truth as you are would n't walk away from a chance like this if you turned me in , you would n't get anything out of me , and you know it help me and we both get what we want what exactly are you ?"
11,you
11,"'re the leader 's favorite puppet , you obey his every word aw , please , that 's insulting !"
11,i
11,"m his best assassin , not his puppet yet you want to kill him ?"
11,it
11,does n't make any sense !
11,A
11,"handsome paradox , am i not ?"
11,seriously
11,", why ?"
11,why
11,follow him at all if you want to stop him so bad ?
11,You
11,know ; officer it 's not all rainbows and unicorns in the phantom scythe it
11,"'s like organization no one agrees on anything there 's healthy amount of back stabbing but so far , none of it has touched the top . the"
11,"leader might not be venerated by everyone , but he 's certainly feared by all his pawns are everywhere no one knows who he is but killing for him , doing his dirty work and being the best at it . that"
11,'s the only way to get closer to him : the only way to stop him : stop . any
11,"It still does n't explain why you want to and this question shall go unanswered , i 'm afraid . My"
11,motives are not relevant and i do n't care about yours . suffice
11,"to say i have as many reasons as you do to want him gone : i only care about making that happen , and i need you to do it . Do"
11,you accept this deal or not ?
11,suppose
11,"i do , what are the conditions ?"
11,what
11,do you expect from me ?
11,Oh
11,", you know , i like to keep things simple . there"
11,'d only be two rules . First
11,", no with holding information . anything"
11,"you know , i know , and vice versa . same"
11,"goes for new discoveries , or else we 'll end up dead . second"
11,", no personal questions liaka To keep rlle one from getting too out of hand . that"
11,'s it ?
11,short
11,and sweet oh !
11,almost forgot third rule !
11,no
11,""" accident ally "" killing each other how does that solnd , officer ?"
11,not
11,good enough : i have my own conditions as well go on ?
11,I
11,do n't want to be mixed up in any of your shady and illegal phantom scythe business . investigation
11,"related only , or count me out . So"
11,the good cop wants to stay a good cop even after teaming up with the purple hyacinth himself ?
11,Sure
11,", no problem : As for you , i do n't want you in my life outside of this . i"
11,"do n't want people i care about involved , ever . what"
11,we do together stays between us . understood
11,?
11,o
11,oh !
11,officer !
11,how
11,scandalous !
11,But
11,"sure that is not listen , if i get one inkling that you 're trying to hide things from me or if anyone close to me so much as sneezes becalse of you . I"
11,"will not hesitate to put a bullet right through your skull and yeah , yeah"
11,", i"
11,know . it
11,'s always headshots with you . your
11,"threats begin to lack creativity , officer . you"
11,"really do have an obsession with murder , do n't you ?"
11,(
11,but it 's okay i
11,forgive you : we all have our weak points . how
11,can i be sure you wo n't betray me ?
11,Endless
11,", endless questions Look you and are going to be partners crime , we 'll have to trust each other : you go down , go down too and so on and so forth : it 's been like that from the moment you let me walk away it 's going to be game of faith for both of us !"
11,we
11,"'re on equal footing if things get nasty , you have your guns and have my sword the only question that remains is : do we have deal ?"
11,yes
11,"fantastic , welcome to the teami nice to meet you , officer My name is kieran white Lauren sinclair . it"
11,"'s been a pleasure , lauren . Sung"
11,Slice What
11,'s wrong ?
11,come
11,on your turn : eww no you
11,'ve murdered dozens of people with this sword . What
11,kind of barbarian do you think i am ?
11,!
11,i
11,clean it nightly . the
11,"blade would rust otherwise , and that would be extremely regrettable : Sgh We have a deal So"
11,it begins Purple hyacinth ost music let 's make it spicy . co
11,creator co creator and artist
12,Somewhere
12,"we wo n't be overheard my , my , who 's the scandalous one now ?"
12,hahaha
12,!
12,You
12,okay there ?
12,Yeah
12,!
12,Wck
12,After you officer . Purple
12,"hyacinth Episode Home , sweet home !"
12,I
12,ca n't believe you 've actually led me to the purple hyacinth 's lair : Would you stop talking about him as if he 's not me ?
12,I
12,'m just Stunned speechless by my incredible taste in home decor ?
12,Yes
12,", i know . Ryobsh"
12,"What the Grab weapon : long talks bore the devil out of me , and you and i are in for another one : Might as well test your skills while we 're at it do you really need to after last night ?"
12,if
12,"i remember correctly , i defeated you . Then"
12,"you should also remember i was n't actually trying to kill you : So officer , what do you know about the phantom scythe ?"
12,not
12,"enough dobce they 've been organized under an anonymous leader for the past decade though at first it was just him and the thirteen "" apostles "" They 're the ones who claimed responsibility for allendale train station . T"
12,he kvlvton Akom
12,"After that , they started recruiting more . i"
12,still do n't lnderstand how they got the numbers they did . you
12,'d be surprised what people will believe when they 're hungry . they
12,said their aim was to create a better world without social hierarchy bl When
12,"you 're not noble born , that 's pretty appealing . These"
12,days we 're down to seven apostles . only
12,four of which are the surviving originals the rest of the first round were either assassinated or killed themselves and i gless not all of them required replacements pelease How many phantom scythe members are there now ?
12,hundreds
12,. hard
12,to tell precisely . come
12,"on , what else ?"
12,if
12,"this is all the apd knows , we 're even worse off than i thought . The"
12,"phantom scythe 's first public act of terrorism was the allendale train station bombing on november 13th , xx17 . The"
12,"city was inaugurating a new railway , financed by the late king edward . He"
12,"was killed in the explosion , along with many infllential members of the government and the nobility . n"
12,deaths . 328
12,wounded dodot loble And 176 reported missing Kroe Gr1b klc Noom Stay focused . If
12,you ca n't finish telling me what you know then i ca n't tell you about my lead . Let
12,'s make it spicy : co creator co creator and artist
13,Episode
13,Stay focused !
13,if
13,you ca n't finish telling me what you know then i ca n't tell you about my lead . i
13,"lost focus , i 'm sorry Try not to fall asleep when you 're sparring an assassin , next time : thank you for that insightful advice but you should worry about yourself instead fwoush Tstss !"
13,not
13,so easy . bllk
13,Pdp Slm that was pretty good officer : Thanks
13,", knocking you down is like a stress reliever for me . anyway"
13,to continue !
13,it
13,"was already known that a group of rebels was forming but there was a rumor they 'd try to bomb the castle , not the train station so the police were reinforcing security at the wrong place . By"
13,announcing themselves in clear opposition to the monarchy the phantom scythe sent a very strong message . they
13,would consolidate power in the dark until the day they could overthrow the crown and the class hierarchy it relies on . Alright
13,", get up Heart warming calse , is n't it ?"
13,At
13,"least , that 's the "" official version "" considering the leader 's a mystery no one knows his real goal . justice"
13,", revenge , "" making a better world "" lured the desperate in : Money and power kept them , and attracted the more corrupt . and"
13,i bet you joined because killing is your guilty pleasure ?
13,Oh
13,. if
13,"we start talking about guilty pleasures , this conversation is going to get long Do n't worry though , officer !"
13,you
13,'re not one of them : How could anyone believe that blowing up train station and killing hundreds of innocent people could possibly be the start of a better world ?
13,sqki
13,"Tluosy I think half their members do n't really care , and the other half . believe"
13,"it was necessary Oh , you 're dead by the way . what"
13,the how did you do that ?
13,!
13,Gon
13,na have to hit the department gym more often if you want to survive our little partnership officer : thvmp
13,What do you know about the leader ?
13,i
13,"'ve been investigating him for years , and i 'm as stumped as you : but i do know he carefully plans the deaths he orders . There"
13,'s a very specific reason behind each person i 'm sent to kill . generally
13,they 're either close to or supportive of the royal family . or
13,they 're trying to betray the phantom scythe . okay
13,", let 's assume the apostles are the closest to the leader . Our"
13,best shot at finding him would be to tackle them first . if
13,"anyone knows his identity , it should be one of the four surviving originals . pidk"
13,"Yep , except that the apostles ' identities are also unknown . Seriously"
13,?
13,c
13,how do you guys even function ?
13,!
13,the
13,"apostles are far more traceable than the leader , though . Each"
13,"of them has a "" territory "" or a specific type of operations they 're in charge of . i"
13,see . so
13,"in order to find the head of the operation , we need to start with the people at the bottom We already have a lead actually . s4"
13,] you
13,do this again and i 'll kill you . i
13,know there 's an illegal weapons import ring running right now with ties to the phantom scythe it 's directed by apostle vi !
13,one
13,"of the original thirteen thuidq Among the people potentially involved , i ve identified gregory mctrevor who 's been previously accused of illegal arms trading . i"
13,'ve been watching him for some time now and
13,i 'm honestly surprised leader has n't asked me to finish him yet
13,yes
13,", i 've heard of him : he was arrested a couple of times in our precinct , i actually brought him in once . he"
13,lawyered up and wormed out of the charges by claiming lack of evidence . He
13,'s not the most subtle man ever . mctrevor
13,"thinks of himself as invincible , but he leaves tracks . So"
13,he 's going to be our first target . I
13,propose we pay him a little visit and learn more about this operation : we just have to make sure that he ca n't report us later i ca n't believe i 'm about to say this . but
13,why do n't you just kill him after we 're done with him ?
13,I
13,"mean , you 're the most fearsome assassin in the city . :"
13,I kill only when i 'm ordered to . or
13,if it 's the only solution : We 'll find a different way to neutralize mctrevor . I
13,"might have a plan , then . Let"
13,'s make it spicy : co creator co creator and artist
14,Episode
14,Ardhalis police department vi Lauren ?
14,Aaahhi
14,Kym can you please stop creeping up on me ?
14,i
14,"swear i 'm going to accidentally stab you if you keep doing this sla "" My dear lauren , your pretty golden eyes look pensive tod stop !"
14,what
14,did you do last night instead of sleeping ?
14,what
14,?
14,You
14,look like someone propped a corpse up at your desk and slapped wig on it . roasted
14,italian pizza cooper sqq which is typical of you : but seriously what were you up to ?
14,s{/
14,"supi I just had a lot on my mind , there 's nothing to worry about , kym : i swear !"
14,Ugh
14,You too ?
14,!
14,what
14,"happened to you , william ?"
14,did
14,you both decide to astral project yourselves into hell without inviting me ?
14,why
14,do i feel like i missed out on something ?
14,i
14,"had a lot on my mind too Drama queens slukr Captain hermann , this is for you , sir : Clackl"
14,Wait !
14,who
14,gave you this enelope ?
14,i
14,"do n't know , captain . it"
14,was just on my trolley this morning ( alk 0 k
14,on
14,Whose work is this ?
14,I
14,m not in the mood for pranksi who sent this ?
14,it
14,has to be someone from the office no one else has access to the archivist 's trolley . i
14,"ve asked the people from the investigation unit and no ones claimed it Wellz does n't look like it was any of us , either . maybe"
14,it 's someone from last night 's shift ?
14,what
14,"is it , anyways ?"
14,It
14,'s a file . a
14,file on gregory mctrevor Is n't that the merchant the investigation unit keeps trying to pin down ?
14,Yes
14,", exactly and apparently this file is the missing piece we d need to lock him up for good what ?"
14,!
14,my
14,"guys spent months trying to get dirt on him with no luck If the evidence here is proven true , then this was one hell of a job . Are"
14,n't there any clues in the file ?
14,a
14,"signature , a piece of handwriting ?"
14,Nothing
14,. everything
14,"is typed , even the cutesy little cover letter i want this file analyzed by our best specialists , verify every single claim : it may look convincing , but i do n't trust this . What"
14,does the letter say ?
14,""""
14,"good day , officersi "" good day , officers !"
14,in
14,"this folder , you will find everything you need 1o send gregory mctrevor nis final incarceration . In"
14,"this folder , you will find everything you need "" Good day , officers this folder , you will find everything you need to send gregory mctrevor to his final incarceration . to"
14,send gregory mctrevor to his final incarceration :
15,Episode
15,inside this folder ; 66 you will find everything you need to send gregory mctrevor to his final incarceration ?
15,(
15,"each of his crimes , the names of his collaborators , proof of payments , all in order instructions have been provided on how to trace any evidence that could n't fit inside this envelope ?"
15,you
15,have the day to verify everything here is in accordance with what is already known of Mr mctrevor ?
15,""""
15,"as for his arrest , you will find him in his home at 23 palmore street ; "" on november 15 , at precisely 11:11pm ?"
15,(
15,"not a minute more , not one less ?"
15,6
15,( it is imperative that the contents of this envelope remain under the seal of secrecy until that time ?
15,(
15,the phantom scythe has eyes and ears everywhere ?
15,""""
15,if its contents are revealed or leaked . the
15,"whole operation could be compromised : ' "" and you lose your only chance to stop gregory mctrevor . Apparently"
15,"the writer holds his own theatrics in very high esteem hilarious and pretentious from what i 've seen in the file , this is the work of a professional it has to be someone with precise knowledge of our investigations on mctrevor pffsh covqb Is it signed ?"
15,Yes
15,. he
15,calls himself . Ac
15,"precrsery ii : iiei toc "" lune . "" er"
15,"the seal of secrecy until r leaked outside , the whole e to stop gregory mctrevor lune X vi Good job on the patrol today !"
15,we
15,"'ve combed over the entire file , captain . everything"
15,is correct . Honestly
15,", i 've never seen anything like this . no"
15,"one at the station did this , i guarantee you . what"
15,"if it 's a trap , laid out by someone from the phantom scythe ?"
15,Or
15,working closely with its members ?
15,officer
15,sinclair is right . i
15,"will not let this "" lune "" criminal dictate the actions of the ardhalis police department . 1"
15,there
15,is no legal way he could 've compiled this !
15,Captain
15,", i 've been working mctrevor 's case for five years . everyone"
15,"knows he 's a crook with probable ties to the phantom scythe : his wealth protects him , but this time there 's not enough gold in the world to bail him out . it"
15,"might be a trap , but we 're the apd . we"
15,"know he 's guilty of everything he 's been accused of , and we have everything we need arrest him tonight . It"
15,'s our responsibility to follow up on this . then
15,"we arrest him now no , i want to wait for the time lune specified You want to follow his instructions ?"
15,why
15,?
15,!
15,He
15,was right about everything else : there must be reason for the deadline !
15,wolldn't
15,it be wiser to respect it ?
15,and
15,"maybe , if lune 's there , we can catch him in the act too you ?"
15,fine
15,"it 's your time to waste : march , you 're in charge of this . gather"
15,your team : stops this exceptional incident shall remain strictly confidential until the case is solved until mctrevor is either behind bars or back home in his bed ' and Am i clear ?
15,Yes
15,", siri And march that envelope did n't just fly onto the mail trolley . someone"
15,"must have put it there , and i want that person found . f"
15,"x x 9 m & Creak Cwal wnb Good evening , sir"
16,A
16,hmph Purple hyacinth Episode Tut tut tut !
16,sicp
16,Now
16,", now that 's not very polite of you , kicking a lady in the face !"
16,I
16,"thought you had better manners , mr . mctrevor . That"
16,'s literally the first thing you did to me : I 'm going to remove my hand now . do
16,n't scream : What the hell do you want from me ?
16,!
16,money
16,?
16,!
16,just
16,"name a price , and we can resolve this peacefully !"
16,We
16,wo n't have anything to do with your dirty money . then
16,why am i tied to a chair ?
16,!
16,like
16,you said this does n't need to get nasty . we
16,only want your cooperation answering a few qlestions What do you mean ?
16,who
16,are you ?
16,!
16,Hey
16,!
16,hey
16,!
16,listen
16,to me what do you want ?
16,!
16,Do
16,nt hurt him : pvil Or what ?
16,how
16,do you plan on getting anything out of him ?
16,if
16,you touch him : ill do to you exactly the same things you do to him : And i 'll do it gladly . tch
16,. cops
16,and their stupid rules . Mctrevori
16,we 've recently taken an interest in your illicit extracurriculars with those charming phantom scythe fellows . What
16,?
16,i
16,would never !
16,Money
16,"laundering , conspiracy to murder , treason organizing prostitution rings , illegal weapons trafficking , tax evasion i do n't know what you 're talking about Oh , come on !"
16,at
16,least try something less cliche !
16,i
16,"am a powerful man : the police ca n't touch me , what makes you think you can ?"
16,leave
16,while you still have the chance We never stopped watching you . even
16,"if you wormed your way out of sentencing in the past , this time , your money and yolr lawyers ca n't save you : correct !"
16,So
16,"let 's skip the death threats , they 're always boring i 've already had enough of them from that one over there . I"
16,"want you to tell me more about your current operation : illegal trafficking , right ?"
16,you
16,"'re smuggling weapons into ardhalis surely for some more sinister purpose : And if i tell you i do n't know anything about it , what will you do ?"
16,Me
16,"Let 's play a game , shall we ?"
16,Every
16,"time you lie , i poke you with this perfectly sharp knife . Whoever"
16,laughs first wins !
16,If
16,he dares You think you can scare me with a knife ?
16,do
16,you know how many interrogations i 've been through ?
16,if
16,"torture really worked i would n't be here today we already know about your involvement in this operation , there 's no use denying it cooperate and perhaps we 'll let you and the people you care about live while longer . you"
16,have nothing on me i live alone i
16,'m not married i have no children !
16,you
16,"ca n't blackmail me , there 's nothing i care about but myself What about your eyes ?"
16,would
16,be a shame if i accidentally poked one out of its socket . lemme
16,do my job I really enjoy this part . What
16,a lonely pathetic little scumbag you are !
16,you
16,"'ve been working under the seventh apostle 's orders , right ?"
16,no
16,", who 's that ?"
16,hnnng
16,"poke ' Whoops , my hand slipped !"
16,what
16,are you in charge of ?
16,I
16,do nt knowi Looks like someone wants the knife again . ah
16,", iedw Ah . Hahahai"
16,Sht okay !
16,stop
16,!
16,you
16,"seem like you did your research , so you must know i 'm a merchant and an accountant . i"
16,"only manage transactions for him : legal ones , of course : of course : with whose help ?"
16,i
16,'ve been a merchant in this city for the past thirty years i do n't need anybody else 's help . how
16,have you been receiving the apostle 's orders ?
16,Through
16,"letters , every time each one was to be blrnt immediately after reading . Ah"
16,", i see And the weapons , what are they for ?"
16,if
16,"you know the phantom scythe , you must know that no one tells anyone everything . nobody"
16,holds all the pieces of the puzzle except the apostles and the leader himself . I
16,"do the accounting , i have no idea what the hell those guns are for : The phantom scythe keeps promising changes , but we have n't done anything major in years . i"
16,'d bet those weapons are probably headed right back out of the country as part of some stupid fund raising campaign to finance an apostle 's new mansion : So
16,much for equality right ?
16,Right
16,Gigh Gpap Alright
16,", recess is over now , children . v"
16,let me do my job . Oh
16,", great , what 's next ?"
16,more
16,books thrown at my head ?
16,i
16,"already told you everything i know I 'm sure you 've gone through a lot of interrogations , mctrevor but you never had one with me slam !"
16,Now
16,shall we begin ?
16,Purple
16,hyacinth ost music let 's make it spicy . co
16,creator co creator and artist
17,Episode
17,16 let 's start with the lies you were spewing while my gullible partner played investigator . first
17,", you were n't only in charge of transactions , and you did n't do them alone . You"
17,were working closely with other people : Including apostle vi !
17,", but you 've never gotten a letter from him . Now"
17,", i 'm sure he did n't risk visiting in person or calling you , and he was avoiding a papertrail . so"
17,he probably used an intermediary to relay spoken messages . a
17,person with whom you will have a meeting sooner or later : How could you ?
17,!
17,I
17,"can read your mind , darling . your"
17,deepest darkest secrets and desires . you
17,ca n't hide anything from me . i
17,do n't believe this nonsense !
17,And
17,"just now , lying again !"
17,you
17,"'re afraid i acthally can , are n't you ?"
17,You
17,"may think you 're smart , but you wo n't you lied earlier , about your children . you"
17,"do care about someone , do n't you ?"
17,you
17,'re not married and there 're no children living under your roof . Must
17,'ve been born out of wedlock . no
17,need to confirm he 's your bastard i do n't care . twek
17,"Let 's not waste time arguing , since we 're already on the same page . i"
17,do n't know who that is !
17,must
17,be from one of apostle vi !
17,'s files . You
17,"can lie all you want , mctrevor , but we 're going to find this kid , and then . well"
17,. you
17,know what happens . unless
17,you tell us about your business with the phantom scythe . Hmm
17,: as expected . she
17,'s useful . What
17,'s your role in apostle vi !
17,'s operation ?
17,i
17,oversee the weapons imports and manage the front business we make everything look legitimate !
17,other
17,"people take care of the papertrail , i clean the money Give me the names of the people you 're working with and their responsibilities . Harry"
17,anslow and ryan flemmings !
17,they
17,'re the only ones i 've been in contact with !
17,I
17,do n't know who the others are . we
17,"'re all merchants , we were using each other as alibis to cover up the real transactions . and"
17,the operation itself ?
17,since
17,you lied before what 's the apostle 's goal ?
17,If
17,"they 're not for "" fundraising "" where else could these weapons be going , i wonder . Somewhere"
17,"like rebellion , perhaps ?"
17,I
17,swear i do n't know anything else !
17,Do
17,nt try me . c
17,"ten years ago , the leader promised us a better world , free from the tyranny of the royals !"
17,you
17,'re right rumor has it that the weapons are being imported into the city in anticipation of that long overdue revolution The time when the people of ardhalis will take back power in the city is coming !
17,Wonderful
17,!
17,See
17,how easy honesty is ?
17,W
17,what are you and your subordinate planning ?
17,""""
17,"subordinate "" ?"
17,!
17,who
17,s the subordinate ?
17,!
17,me
17,?
17,!
17,Aww
17,did you hear that ?
17,subordinate
17,it suits you !
17,i
17,"m the one who proposed this deal , you ungrateful !"
17,i
17,basically hired you . yes
17,", but look how useless you were tonight !"
17,Amateur
17,"what do you think you would have done without me , huh ?"
17,!
17,You
17,"'d still be crying over your broken nose because of all those brickwalls yolr investigation keeps running into Wow . """
17,"crying "" Bold to assume that i have ever Okay . so"
17,"if you 're both busy arguing can i go noi now tell me , you must 've kept records of your past fraudulent transactions !"
17,or
17,at least your communications with your phantom scythe friends to add to the alibi : Perhaps here ?
17,no
17,i did n't keep records . Here
17,", then !"
17,no
17,!
17,what
17,about here ?
17,q
17,no god dammit !
17,itold
17,you there ' s nothingi Trass consbrs pull Ah hah !
17,look
17,", my dear gullible subordinate !"
17,it
17,seems like we 've found the jackpot !
17,Repont
17,heton tcns encueleu transacfton peoncluded : ort It also seems like we 're running out of time . in
17,"a few minutes , the police will be here to arrest you : they already have everything they need to put you away for the next twenty years . there"
