id,sentence
1134,The allendale tragedy will only look like a tiny sparkler compared to what 's to come Provided that the merchandise survives the journey to ardhalis . the
1135,she seemed to be in charge of it I ptrogy and the nitroglycerine 70 cerine { orc The allendale tragedy will only look like a tiny sparkler compared to what 's to come . This
1136,'s allendale tragedy all over again . i
1137,"if a brewing revolution was n't dreadfll enough , Now there 's the possibility of a second attack , even more horrific than allendale ?"
1138,"to the gth precinct records , the shop was shut down in february xx16 by the police that 's a little over a year before the allendale tragedy . they"
1139,insinlated children were kidnapped right before the allendale explosion . oh
1140,my parents or any victim of allendale . i
1141,I just did allendate ctation ever since that day allendale train station tragedy i 've wanted to take down the monsters responsible for his death . they
1142,spymaster keeps an eye on them but that didn ' stop the allendale tragedy . we
1143,picture is the only remaining evidence of my involvement in the allendale tragedy . i
1144,std lying bastard they Allendale train station tragedy huh
1145,hyacinth Episode Hionu ju victims of the allendale train station tragedy and those who perished while braving the danger to help you will be remembered . thank
1146,how hectic things are now i ca n't imagine how you managed the allendale events when you were still chief . you
1147,the allendale tragedy and the following horrid days left profound scars on all of 4s . Many
1148,'s already been ten years since the allendale tragedy !
1149,one near the docks ?
1150,soil around the industrial docks is rich in red clay and has an unmistakeable rusty tinge It always ends up dirtying all the nearby streets becalse of the heavy traffic . Right
1151,"mlch , actually We were playing poker at the golden clover and i went straight home after . the"
1152,propose : The golden clover the golden clover is the only known public place where lune has been spotted . I
1153,golden clover is in our precinct That 's never stopped you before . Oh
1154,the golden clover is right in front of us also you 're pointing left . Ah
1155,Good evening welcome to the golden clover . may
1156,i 've got to meet someone soon : i was supposed to meet him at the golden clover on 3oth to buy the picture . But
1157,"'s located in greychapel , one of the most dangerous neighborhoods of ardhalis . it"
1158,that 's way too far from greychapel and your wounds need to be tended clong Follow me . Get
1159,in the poorer neighborhoods . Greychapel
1160,I m going to greychapel tomorrow night . will
1161,'s a murder scene Welcome to greychapel
1162,do n't make headlines in greychapel . You
1163,any member of the privy council would actually set a foot in greychapel they would agree with me . You
1164,", the merry band of greychapel orphans evolved some after fifteen years . artists"
1165,know i learned about it while i was at the grim goblin . do
1166,", sorry What did you see at the grim goblin ?"
1167,about the grim goblin ?
1168,"only a few times we went to a fancy restalrant in the 1oth district for our first date , l'arlequin almost a month ago actually that was in late november . but"
1169,l'arlequin
1170,full show will be in nightingale park for the next two weeks !
1171,are meeting at the carmine camelia in two days a. alis ( alaalurlns= conditions ?
1172,"of the buildings look perfectly normal on the surface , like the carmine camelia . What"
1173,new on the woman from the carmine camelia ?
1174,you went on running on the carmine camelia 's rooftopsw ?
1175,were at the carmine camelia too !
1176,"should n't be investigating employees at the carmine camelia , hnnngg that weird lady swore she saw lune here but"
